,Station,Air Quality,O3 Quality,O3 µg/m3,NO2 Quality,NO2 µg/m3,PM10 Quality,PM10 µg/m3,Date Time,Generated Date,Generated Time,Week Day
1655,Observ Fabra,Good,Good,50.0,Good,17.0,Good,12.0,1541772303,09/11/18,15:00,Friday
1656,Sants,Good,,,Good,31.0,,,1541775903,09/11/18,16:00,Friday
1657,Eixample,Good,Good,14.0,Good,51.0,Good,25.0,1541775903,09/11/18,16:00,Friday
1658,Gràcia,Good,Good,25.0,Good,35.0,,,1541775903,09/11/18,16:00,Friday
1659,Ciutadella,Good,Good,23.0,Good,42.0,,,1541775903,09/11/18,16:00,Friday
1660,Vall Hebron,Good,Good,32.0,Good,29.0,Good,21.0,1541775903,09/11/18,16:00,Friday
1661,Palau Reial,Good,Good,25.0,Good,24.0,,,1541775903,09/11/18,16:00,Friday
1662,Poblenou,Good,,,Good,32.0,Good,21.0,1541775903,09/11/18,16:00,Friday
1663,Observ Fabra,Good,Good,46.0,Good,17.0,Good,11.0,1541775903,09/11/18,16:00,Friday
1664,Sants,Good,,,Good,29.0,,,1541779503,09/11/18,17:00,Friday
1665,Eixample,Good,Good,17.0,Good,45.0,Good,24.0,1541779503,09/11/18,17:00,Friday
1666,Gràcia,Good,Good,31.0,Good,30.0,,,1541779503,09/11/18,17:00,Friday
1667,Ciutadella,Good,Good,29.0,Good,39.0,,,1541779503,09/11/18,17:00,Friday
1668,Vall Hebron,Good,Good,36.0,Good,25.0,Good,20.0,1541779503,09/11/18,17:00,Friday
1669,Palau Reial,Good,Good,29.0,Good,20.0,Good,12.0,1541779503,09/11/18,17:00,Friday
1670,Poblenou,Good,,,Good,29.0,Good,21.0,1541779503,09/11/18,17:00,Friday
1671,Observ Fabra,Good,Good,50.0,Good,15.0,Good,11.0,1541779503,09/11/18,17:00,Friday
1672,Sants,Good,,,Good,28.0,,,1541783103,09/11/18,18:00,Friday
1673,Eixample,Good,Good,18.0,Good,45.0,Good,23.0,1541783103,09/11/18,18:00,Friday
1674,Gràcia,Good,Good,27.0,Good,39.0,,,1541783103,09/11/18,18:00,Friday
1675,Ciutadella,Good,Good,23.0,Good,41.0,,,1541783103,09/11/18,18:00,Friday
1676,Vall Hebron,Good,Good,40.0,Good,20.0,Good,20.0,1541783103,09/11/18,18:00,Friday
1677,Palau Reial,Good,Good,30.0,Good,21.0,Good,12.0,1541783103,09/11/18,18:00,Friday
1678,Poblenou,Good,,,Good,34.0,Good,20.0,1541783103,09/11/18,18:00,Friday
1679,Observ Fabra,Good,Good,58.0,Good,9.0,Good,10.0,1541783103,09/11/18,18:00,Friday
1680,Sants,Good,,,Good,34.0,,,1541786704,09/11/18,19:00,Friday
1681,Eixample,Good,Good,13.0,Good,48.0,Good,22.0,1541786704,09/11/18,19:00,Friday
1682,Gràcia,Good,Good,16.0,Good,58.0,,,1541786704,09/11/18,19:00,Friday
1683,Ciutadella,Good,Good,14.0,Good,50.0,,,1541786704,09/11/18,19:00,Friday
1684,Vall Hebron,Good,Good,39.0,Good,23.0,Good,19.0,1541786704,09/11/18,19:00,Friday
1685,Palau Reial,Good,Good,30.0,Good,21.0,Good,12.0,1541786704,09/11/18,19:00,Friday
1686,Poblenou,Good,,,Good,41.0,Good,20.0,1541786704,09/11/18,19:00,Friday
1687,Observ Fabra,Good,Good,66.0,Good,6.0,Good,10.0,1541786704,09/11/18,19:00,Friday
1688,Sants,Good,,,Good,38.0,,,1541790303,09/11/18,20:00,Friday
1689,Eixample,Good,Good,9.0,Good,54.0,Good,21.0,1541790303,09/11/18,20:00,Friday
1690,Gràcia,Good,Good,20.0,Good,48.0,,,1541790303,09/11/18,20:00,Friday
1691,Ciutadella,Good,Good,9.0,Good,54.0,,,1541790303,09/11/18,20:00,Friday
1692,Vall Hebron,Good,Good,27.0,Good,34.0,Good,18.0,1541790303,09/11/18,20:00,Friday
1693,Palau Reial,Good,Good,33.0,Good,18.0,Good,12.0,1541790303,09/11/18,20:00,Friday
1694,Poblenou,Good,,,Good,46.0,Good,20.0,1541790303,09/11/18,20:00,Friday
1695,Observ Fabra,Good,Good,61.0,Good,6.0,Good,9.0,1541790303,09/11/18,20:00,Friday
1696,Sants,Good,,,Good,29.0,,,1541793903,09/11/18,21:00,Friday
1697,Eixample,Good,Good,17.0,Good,42.0,Good,20.0,1541793903,09/11/18,21:00,Friday
1698,Gràcia,Good,Good,37.0,Good,28.0,,,1541793903,09/11/18,21:00,Friday
1699,Ciutadella,Good,Good,23.0,Good,39.0,,,1541793903,09/11/18,21:00,Friday
1700,Vall Hebron,Good,Good,41.0,Good,22.0,Good,17.0,1541793903,09/11/18,21:00,Friday
1701,Palau Reial,Good,Good,36.0,Good,20.0,Good,12.0,1541793903,09/11/18,21:00,Friday
1702,Poblenou,Good,,,Good,45.0,Good,19.0,1541793903,09/11/18,21:00,Friday
1703,Observ Fabra,Good,Good,57.0,Good,12.0,Good,9.0,1541793903,09/11/18,21:00,Friday
1704,Sants,Good,,,Good,24.0,,,1541797504,09/11/18,22:00,Friday
1705,Eixample,Good,Good,20.0,Good,47.0,Good,19.0,1541797504,09/11/18,22:00,Friday
1706,Gràcia,Good,Good,39.0,Good,32.0,,,1541797504,09/11/18,22:00,Friday
1707,Ciutadella,Good,Good,27.0,Good,45.0,,,1541797504,09/11/18,22:00,Friday
1708,Vall Hebron,Good,Good,46.0,Good,24.0,Good,16.0,1541797504,09/11/18,22:00,Friday
1709,Palau Reial,Good,Good,42.0,Good,19.0,Good,12.0,1541797504,09/11/18,22:00,Friday
1710,Poblenou,Good,,,Good,31.0,Good,17.0,1541797504,09/11/18,22:00,Friday
1711,Observ Fabra,Good,Good,57.0,Good,16.0,Good,8.0,1541797504,09/11/18,22:00,Friday
1712,Sants,Good,,,Good,25.0,,,1541801103,09/11/18,23:00,Friday
1713,Eixample,Good,Good,28.0,Good,41.0,Good,18.0,1541801103,09/11/18,23:00,Friday
1714,Gràcia,Good,Good,49.0,Good,23.0,,,1541801103,09/11/18,23:00,Friday
1715,Ciutadella,Good,Good,44.0,Good,31.0,,,1541801103,09/11/18,23:00,Friday
1716,Vall Hebron,Good,Good,56.0,Good,17.0,Good,15.0,1541801103,09/11/18,23:00,Friday
1717,Palau Reial,Good,Good,41.0,Good,20.0,Good,12.0,1541801103,09/11/18,23:00,Friday
1718,Poblenou,Good,,,Good,24.0,Good,17.0,1541801103,09/11/18,23:00,Friday
1719,Observ Fabra,Good,Good,66.0,Good,10.0,Good,8.0,1541801103,09/11/18,23:00,Friday
1720,Sants,Good,,,Good,25.0,,,1541804708,10/11/18,0:00,Saturday
1721,Eixample,Good,Good,27.0,Good,40.0,Good,15.0,1541804708,10/11/18,0:00,Saturday
1722,Gràcia,Good,Good,36.0,Good,34.0,,,1541804708,10/11/18,0:00,Saturday
1723,Ciutadella,Good,Good,29.0,Good,44.0,,,1541804708,10/11/18,0:00,Saturday
1724,Vall Hebron,Good,Good,51.0,Good,19.0,Good,11.0,1541804708,10/11/18,0:00,Saturday
1725,Palau Reial,Good,Good,49.0,Good,11.0,Good,10.0,1541804708,10/11/18,0:00,Saturday
1726,Poblenou,Good,,,Good,35.0,Good,14.0,1541804708,10/11/18,0:00,Saturday
1727,Observ Fabra,Good,Good,61.0,Good,14.0,Good,7.0,1541804708,10/11/18,0:00,Saturday
1728,Sants,Good,,,Good,15.0,,,1541808303,10/11/18,1:00,Saturday
1729,Eixample,Good,Good,27.0,Good,40.0,Good,15.0,1541808303,10/11/18,1:00,Saturday
1730,Gràcia,Good,Good,41.0,Good,29.0,,,1541808303,10/11/18,1:00,Saturday
1731,Ciutadella,Good,Good,23.0,Good,39.0,,,1541808303,10/11/18,1:00,Saturday
1732,Vall Hebron,Good,Good,59.0,Good,12.0,Good,11.0,1541808303,10/11/18,1:00,Saturday
1733,Palau Reial,Good,Good,53.0,Good,7.0,Good,10.0,1541808303,10/11/18,1:00,Saturday
1734,Poblenou,Good,,,Good,32.0,Good,14.0,1541808303,10/11/18,1:00,Saturday
1735,Observ Fabra,Good,Good,68.0,Good,7.0,Good,7.0,1541808303,10/11/18,1:00,Saturday
1736,Sants,Good,,,Good,18.0,,,1541811903,10/11/18,2:00,Saturday
1737,Eixample,Good,Good,27.0,Good,40.0,Good,14.0,1541811903,10/11/18,2:00,Saturday
1738,Gràcia,Good,Good,40.0,Good,27.0,,,1541811903,10/11/18,2:00,Saturday
1739,Ciutadella,Good,Good,22.0,Good,41.0,,,1541811903,10/11/18,2:00,Saturday
1740,Vall Hebron,Good,Good,58.0,Good,11.0,Good,11.0,1541811903,10/11/18,2:00,Saturday
1741,Palau Reial,Good,Good,56.0,Good,4.0,Good,9.0,1541811903,10/11/18,2:00,Saturday
1742,Poblenou,Good,,,Good,20.0,Good,13.0,1541811903,10/11/18,2:00,Saturday
1743,Observ Fabra,Good,Good,68.0,Good,6.0,Good,7.0,1541811903,10/11/18,2:00,Saturday
1744,Sants,Good,,,Good,17.0,,,1541815503,10/11/18,3:00,Saturday
1745,Eixample,Good,,,,,Good,13.0,1541815503,10/11/18,3:00,Saturday
1746,Gràcia,Good,Good,47.0,Good,18.0,,,1541815503,10/11/18,3:00,Saturday
1747,Ciutadella,Good,Good,42.0,Good,26.0,,,1541815503,10/11/18,3:00,Saturday
1748,Vall Hebron,Good,Good,60.0,Good,9.0,Good,9.0,1541815503,10/11/18,3:00,Saturday
1749,Palau Reial,Good,Good,51.0,Good,8.0,Good,9.0,1541815503,10/11/18,3:00,Saturday
1750,Poblenou,Good,,,Good,42.0,Good,11.0,1541815503,10/11/18,3:00,Saturday
1751,Observ Fabra,Good,Good,67.0,Good,6.0,Good,6.0,1541815503,10/11/18,3:00,Saturday
1752,Sants,Good,,,Good,8.0,,,1541819103,10/11/18,4:00,Saturday
1753,Eixample,Good,Good,43.0,Good,22.0,Good,12.0,1541819103,10/11/18,4:00,Saturday
1754,Gràcia,Good,Good,50.0,Good,12.0,,,1541819103,10/11/18,4:00,Saturday
1755,Ciutadella,Good,Good,49.0,Good,17.0,,,1541819103,10/11/18,4:00,Saturday
1756,Vall Hebron,Good,Good,61.0,Good,6.0,Good,8.0,1541819103,10/11/18,4:00,Saturday
1757,Palau Reial,Good,Good,58.0,Good,2.0,Good,8.0,1541819103,10/11/18,4:00,Saturday
1758,Poblenou,Good,,,Good,36.0,Good,10.0,1541819103,10/11/18,4:00,Saturday
1759,Observ Fabra,Good,Good,70.0,Good,4.0,Good,6.0,1541819103,10/11/18,4:00,Saturday
1760,Sants,Good,,,Good,11.0,,,1541822703,10/11/18,5:00,Saturday
1761,Eixample,Good,Good,38.0,Good,26.0,Good,11.0,1541822703,10/11/18,5:00,Saturday
1762,Gràcia,Good,Good,46.0,Good,14.0,,,1541822703,10/11/18,5:00,Saturday
1763,Ciutadella,Good,Good,54.0,Good,13.0,,,1541822703,10/11/18,5:00,Saturday
1764,Vall Hebron,Good,Good,58.0,Good,7.0,Good,8.0,1541822703,10/11/18,5:00,Saturday
1765,Palau Reial,Good,Good,55.0,Good,2.0,Good,8.0,1541822703,10/11/18,5:00,Saturday
1766,Poblenou,Good,,,Good,34.0,Good,9.0,1541822703,10/11/18,5:00,Saturday
1767,Observ Fabra,Good,Good,65.0,Good,4.0,Good,6.0,1541822703,10/11/18,5:00,Saturday
1768,Sants,Good,,,Good,14.0,,,1541826303,10/11/18,6:00,Saturday
1769,Eixample,Good,Good,29.0,Good,35.0,Good,11.0,1541826303,10/11/18,6:00,Saturday
1770,Gràcia,Good,Good,47.0,Good,12.0,,,1541826303,10/11/18,6:00,Saturday
1771,Ciutadella,Good,Good,47.0,Good,16.0,,,1541826303,10/11/18,6:00,Saturday
1772,Vall Hebron,Good,Good,53.0,Good,11.0,Good,8.0,1541826303,10/11/18,6:00,Saturday
1773,Palau Reial,Good,Good,48.0,Good,7.0,Good,7.0,1541826303,10/11/18,6:00,Saturday
1774,Poblenou,Good,,,Good,16.0,Good,8.0,1541826303,10/11/18,6:00,Saturday
1775,Observ Fabra,Good,Good,55.0,Good,9.0,Good,6.0,1541826303,10/11/18,6:00,Saturday
1776,Sants,Good,,,Good,17.0,,,1541829903,10/11/18,7:00,Saturday
1777,Eixample,Good,Good,15.0,Good,49.0,Good,11.0,1541829903,10/11/18,7:00,Saturday
1778,Gràcia,Good,Good,45.0,Good,14.0,,,1541829903,10/11/18,7:00,Saturday
1779,Ciutadella,Good,Good,42.0,Good,21.0,,,1541829903,10/11/18,7:00,Saturday
1780,Vall Hebron,Good,Good,54.0,Good,11.0,Good,8.0,1541829903,10/11/18,7:00,Saturday
1781,Palau Reial,Good,Good,58.0,Good,2.0,Good,8.0,1541829903,10/11/18,7:00,Saturday
1782,Poblenou,Good,,,Good,23.0,Good,8.0,1541829903,10/11/18,7:00,Saturday
1783,Observ Fabra,Good,Good,64.0,Good,6.0,Good,6.0,1541829903,10/11/18,7:00,Saturday
1784,Sants,Good,,,Good,23.0,,,1541833504,10/11/18,8:00,Saturday
1785,Eixample,Good,Good,18.0,Good,47.0,Good,11.0,1541833504,10/11/18,8:00,Saturday
1786,Gràcia,Good,Good,41.0,Good,19.0,,,1541833504,10/11/18,8:00,Saturday
1787,Ciutadella,Good,Good,26.0,Good,34.0,,,1541833504,10/11/18,8:00,Saturday
1788,Vall Hebron,Good,Good,55.0,Good,11.0,Good,9.0,1541833504,10/11/18,8:00,Saturday
1789,Palau Reial,Good,Good,54.0,Good,3.0,Good,8.0,1541833504,10/11/18,8:00,Saturday
1790,Poblenou,Good,,,Good,23.0,Good,8.0,1541833504,10/11/18,8:00,Saturday
1791,Observ Fabra,Good,Good,61.0,Good,6.0,Good,6.0,1541833504,10/11/18,8:00,Saturday
1792,Sants,Good,,,Good,24.0,,,1541837103,10/11/18,9:00,Saturday
1793,Eixample,Good,Good,10.0,Good,55.0,Good,12.0,1541837103,10/11/18,9:00,Saturday
1794,Gràcia,Good,Good,34.0,Good,26.0,,,1541837103,10/11/18,9:00,Saturday
1795,Ciutadella,Good,Good,15.0,Good,42.0,,,1541837103,10/11/18,9:00,Saturday
1796,Vall Hebron,Good,Good,46.0,Good,17.0,Good,9.0,1541837103,10/11/18,9:00,Saturday
1797,Palau Reial,Good,Good,47.0,Good,7.0,Good,8.0,1541837103,10/11/18,9:00,Saturday
1798,Poblenou,Good,,,Good,24.0,Good,9.0,1541837103,10/11/18,9:00,Saturday
1799,Observ Fabra,Good,Good,47.0,Good,15.0,Good,6.0,1541837103,10/11/18,9:00,Saturday
1800,Sants,Good,,,Good,30.0,,,1541840703,10/11/18,10:00,Saturday
1801,Eixample,Good,Good,17.0,Good,45.0,Good,12.0,1541840703,10/11/18,10:00,Saturday
1802,Gràcia,Good,Good,31.0,Good,34.0,,,1541840703,10/11/18,10:00,Saturday
1803,Ciutadella,Good,Good,25.0,Good,39.0,,,1541840703,10/11/18,10:00,Saturday
1804,Vall Hebron,Good,Good,54.0,Good,13.0,Good,9.0,1541840703,10/11/18,10:00,Saturday
1805,Palau Reial,Good,Good,45.0,Good,9.0,Good,8.0,1541840703,10/11/18,10:00,Saturday
1806,Poblenou,Good,,,Good,52.0,Good,9.0,1541840703,10/11/18,10:00,Saturday
1807,Observ Fabra,Good,Good,59.0,Good,8.0,Good,7.0,1541840703,10/11/18,10:00,Saturday
1808,Sants,Good,,,Good,38.0,,,1541844304,10/11/18,11:00,Saturday
1809,Eixample,Good,Good,13.0,Good,51.0,Good,12.0,1541844304,10/11/18,11:00,Saturday
1810,Gràcia,Good,Good,28.0,Good,38.0,,,1541844304,10/11/18,11:00,Saturday
1811,Ciutadella,Good,Good,21.0,Good,45.0,,,1541844304,10/11/18,11:00,Saturday
1812,Vall Hebron,Good,Good,57.0,Good,11.0,Good,9.0,1541844304,10/11/18,11:00,Saturday
1813,Palau Reial,Good,Good,37.0,Good,17.0,Good,9.0,1541844304,10/11/18,11:00,Saturday
1814,Poblenou,Good,,,Good,56.0,Good,9.0,1541844304,10/11/18,11:00,Saturday
1815,Observ Fabra,Good,Good,63.0,Good,5.0,Good,7.0,1541844304,10/11/18,11:00,Saturday
1816,Sants,Good,,,Good,29.0,,,1541847903,10/11/18,12:00,Saturday
1817,Eixample,Good,Good,21.0,Good,48.0,Good,12.0,1541847903,10/11/18,12:00,Saturday
1818,Gràcia,Good,Good,25.0,Good,43.0,,,1541847903,10/11/18,12:00,Saturday
1819,Ciutadella,Good,Good,29.0,Good,38.0,,,1541847903,10/11/18,12:00,Saturday
1820,Vall Hebron,Good,Good,57.0,Good,9.0,Good,9.0,1541847903,10/11/18,12:00,Saturday
1821,Palau Reial,Good,Good,27.0,Good,30.0,Good,9.0,1541847903,10/11/18,12:00,Saturday
1822,Poblenou,Good,,,Good,46.0,Good,10.0,1541847903,10/11/18,12:00,Saturday
1823,Observ Fabra,Good,Good,63.0,Good,6.0,Good,7.0,1541847903,10/11/18,12:00,Saturday
1824,Sants,Good,,,Good,13.0,,,1541851503,10/11/18,13:00,Saturday
1825,Eixample,Good,Good,40.0,Good,36.0,Good,12.0,1541851503,10/11/18,13:00,Saturday
1826,Gràcia,Good,Good,41.0,Good,31.0,,,1541851503,10/11/18,13:00,Saturday
1827,Ciutadella,Good,Good,52.0,Good,19.0,,,1541851503,10/11/18,13:00,Saturday
1828,Vall Hebron,Good,Good,58.0,Good,12.0,Good,9.0,1541851503,10/11/18,13:00,Saturday
1829,Palau Reial,Good,Good,44.0,Good,15.0,Good,9.0,1541851503,10/11/18,13:00,Saturday
1830,Poblenou,Good,,,Good,30.0,Good,10.0,1541851503,10/11/18,13:00,Saturday
1831,Observ Fabra,Good,Good,64.0,Good,7.0,Good,7.0,1541851503,10/11/18,13:00,Saturday
1832,Sants,Good,,,Good,12.0,,,1541855103,10/11/18,14:00,Saturday
1833,Eixample,Good,Good,43.0,Good,38.0,Good,12.0,1541855103,10/11/18,14:00,Saturday
1834,Gràcia,Good,Good,52.0,Good,24.0,,,1541855103,10/11/18,14:00,Saturday
1835,Ciutadella,Good,Good,54.0,Good,20.0,,,1541855103,10/11/18,14:00,Saturday
1836,Vall Hebron,Good,Good,62.0,Good,11.0,Good,8.0,1541855103,10/11/18,14:00,Saturday
1837,Palau Reial,Good,Good,49.0,Good,13.0,Good,9.0,1541855103,10/11/18,14:00,Saturday
1838,Poblenou,Good,,,Good,32.0,Good,10.0,1541855103,10/11/18,14:00,Saturday
1839,Observ Fabra,Good,Good,70.0,Good,6.0,Good,7.0,1541855103,10/11/18,14:00,Saturday
1840,Sants,Good,,,Good,12.0,,,1541858703,10/11/18,15:00,Saturday
1841,Eixample,Good,Good,43.0,Good,38.0,Good,12.0,1541858703,10/11/18,15:00,Saturday
1842,Gràcia,Good,Good,56.0,Good,22.0,,,1541858703,10/11/18,15:00,Saturday
1843,Ciutadella,Good,Good,49.0,Good,28.0,,,1541858703,10/11/18,15:00,Saturday
1844,Vall Hebron,Good,Good,67.0,Good,11.0,Good,9.0,1541858703,10/11/18,15:00,Saturday
1845,Palau Reial,Good,Good,55.0,Good,12.0,Good,9.0,1541858703,10/11/18,15:00,Saturday
1846,Poblenou,Good,,,Good,31.0,Good,10.0,1541858703,10/11/18,15:00,Saturday
1847,Observ Fabra,Good,Good,74.0,Good,6.0,Good,7.0,1541858703,10/11/18,15:00,Saturday
1848,Sants,Good,,,Good,13.0,,,1541862304,10/11/18,16:00,Saturday
1849,Eixample,Good,Good,43.0,Good,38.0,Good,12.0,1541862304,10/11/18,16:00,Saturday
1850,Gràcia,Good,Good,58.0,Good,22.0,,,1541862304,10/11/18,16:00,Saturday
1851,Ciutadella,Good,Good,53.0,Good,29.0,,,1541862304,10/11/18,16:00,Saturday
1852,Vall Hebron,Good,Good,69.0,Good,14.0,Good,9.0,1541862304,10/11/18,16:00,Saturday
1853,Palau Reial,Good,Good,55.0,Good,13.0,Good,9.0,1541862304,10/11/18,16:00,Saturday
1854,Poblenou,Good,,,Good,29.0,Good,10.0,1541862304,10/11/18,16:00,Saturday
1855,Observ Fabra,Good,Good,68.0,Good,16.0,Good,7.0,1541862304,10/11/18,16:00,Saturday
1856,Sants,Good,,,Good,15.0,,,1541865903,10/11/18,17:00,Saturday
1857,Eixample,Good,,,,,Good,12.0,1541865903,10/11/18,17:00,Saturday
1858,Gràcia,Good,Good,54.0,Good,25.0,,,1541865903,10/11/18,17:00,Saturday
1859,Ciutadella,Good,Good,44.0,Good,39.0,,,1541865903,10/11/18,17:00,Saturday
1860,Vall Hebron,Good,Good,64.0,Good,18.0,Good,8.0,1541865903,10/11/18,17:00,Saturday
1861,Palau Reial,Good,Good,52.0,Good,16.0,Good,9.0,1541865903,10/11/18,17:00,Saturday
1862,Poblenou,Good,,,Good,28.0,Good,10.0,1541865903,10/11/18,17:00,Saturday
1863,Observ Fabra,Good,Good,62.0,Good,21.0,Good,7.0,1541865903,10/11/18,17:00,Saturday
1864,Sants,Good,,,Good,15.0,,,1541869503,10/11/18,18:00,Saturday
1865,Eixample,Good,,,,,Good,12.0,1541869503,10/11/18,18:00,Saturday
1866,Gràcia,Good,Good,53.0,Good,30.0,,,1541869503,10/11/18,18:00,Saturday
1867,Ciutadella,Good,Good,39.0,Good,43.0,,,1541869503,10/11/18,18:00,Saturday
1868,Vall Hebron,Good,Good,62.0,Good,20.0,Good,8.0,1541869503,10/11/18,18:00,Saturday
1869,Palau Reial,Good,Good,53.0,Good,16.0,Good,9.0,1541869503,10/11/18,18:00,Saturday
1870,Poblenou,Good,,,Good,40.0,Good,10.0,1541869503,10/11/18,18:00,Saturday
1871,Observ Fabra,Good,Good,56.0,Good,26.0,Good,8.0,1541869503,10/11/18,18:00,Saturday
1872,Sants,Good,,,Good,23.0,,,1541873103,10/11/18,19:00,Saturday
1873,Eixample,Good,Good,33.0,Good,48.0,Good,13.0,1541873103,10/11/18,19:00,Saturday
1874,Gràcia,Good,Good,40.0,Good,38.0,,,1541873103,10/11/18,19:00,Saturday
1875,Ciutadella,Good,Good,38.0,Good,41.0,,,1541873103,10/11/18,19:00,Saturday
1876,Vall Hebron,Good,Good,37.0,Good,39.0,Good,9.0,1541873103,10/11/18,19:00,Saturday
1877,Palau Reial,Good,Good,26.0,Good,40.0,Good,9.0,1541873103,10/11/18,19:00,Saturday
1878,Poblenou,Good,,,Good,38.0,Good,11.0,1541873103,10/11/18,19:00,Saturday
1879,Observ Fabra,Good,Good,59.0,Good,20.0,Good,8.0,1541873103,10/11/18,19:00,Saturday
1880,Sants,Good,,,Good,33.0,,,1541876704,10/11/18,20:00,Saturday
1881,Eixample,Good,Good,21.0,Good,57.0,Good,13.0,1541876704,10/11/18,20:00,Saturday
1882,Gràcia,Good,Good,19.0,Good,58.0,,,1541876704,10/11/18,20:00,Saturday
1883,Ciutadella,Good,Good,32.0,Good,46.0,,,1541876704,10/11/18,20:00,Saturday
1884,Vall Hebron,Good,Good,12.0,Good,63.0,Good,9.0,1541876704,10/11/18,20:00,Saturday
1885,Palau Reial,Good,Good,6.0,Good,66.0,Good,10.0,1541876704,10/11/18,20:00,Saturday
1886,Poblenou,Good,,,Good,50.0,Good,11.0,1541876704,10/11/18,20:00,Saturday
1887,Observ Fabra,Good,Good,68.0,Good,9.0,Good,8.0,1541876704,10/11/18,20:00,Saturday
1888,Sants,Good,,,Good,51.0,,,1541880303,10/11/18,21:00,Saturday
1889,Eixample,Good,Good,9.0,Good,68.0,Good,13.0,1541880303,10/11/18,21:00,Saturday
1890,Gràcia,Good,Good,8.0,Good,72.0,,,1541880303,10/11/18,21:00,Saturday
1891,Ciutadella,Good,Good,28.0,Good,47.0,,,1541880303,10/11/18,21:00,Saturday
1892,Vall Hebron,Good,Good,18.0,Good,56.0,Good,9.0,1541880303,10/11/18,21:00,Saturday
1893,Palau Reial,Good,Good,1.0,Good,74.0,Good,10.0,1541880303,10/11/18,21:00,Saturday
1894,Poblenou,Good,,,Good,49.0,Good,11.0,1541880303,10/11/18,21:00,Saturday
1895,Observ Fabra,Good,Good,63.0,Good,11.0,Good,8.0,1541880303,10/11/18,21:00,Saturday
1896,Sants,Good,,,Good,67.0,,,1541883903,10/11/18,22:00,Saturday
1897,Eixample,Good,Good,2.0,Good,74.0,Good,14.0,1541883903,10/11/18,22:00,Saturday
1898,Gràcia,Good,Good,3.0,Good,83.0,,,1541883903,10/11/18,22:00,Saturday
1899,Ciutadella,Good,Good,20.0,Good,53.0,,,1541883903,10/11/18,22:00,Saturday
1900,Vall Hebron,Good,Good,37.0,Good,34.0,Good,10.0,1541883903,10/11/18,22:00,Saturday
1901,Palau Reial,Good,Good,1.0,Good,69.0,Good,11.0,1541883903,10/11/18,22:00,Saturday
1902,Poblenou,Good,,,Good,51.0,Good,12.0,1541883903,10/11/18,22:00,Saturday
1903,Observ Fabra,Good,Good,64.0,Good,10.0,Good,8.0,1541883903,10/11/18,22:00,Saturday
1904,Sants,Good,,,Good,71.0,,,1541887503,10/11/18,23:00,Saturday
1905,Eixample,Good,Good,2.0,Good,79.0,Good,14.0,1541887503,10/11/18,23:00,Saturday
1906,Gràcia,Good,Good,3.0,Good,83.0,,,1541887503,10/11/18,23:00,Saturday
1907,Ciutadella,Good,Good,11.0,Good,65.0,,,1541887503,10/11/18,23:00,Saturday
1908,Vall Hebron,Good,Good,46.0,Good,24.0,Good,10.0,1541887503,10/11/18,23:00,Saturday
1909,Palau Reial,Good,Good,16.0,Good,49.0,Good,11.0,1541887503,10/11/18,23:00,Saturday
1910,Poblenou,Good,,,Good,65.0,Good,13.0,1541887503,10/11/18,23:00,Saturday
1911,Observ Fabra,Good,Good,66.0,Good,7.0,Good,8.0,1541887503,10/11/18,23:00,Saturday
1912,Sants,Good,,,Good,39.0,,,1541894703,11/11/18,1:00,Sunday
1913,Eixample,Good,Good,9.0,Good,54.0,Good,15.0,1541894703,11/11/18,1:00,Sunday
1914,Gràcia,Good,Good,3.0,Good,83.0,,,1541894703,11/11/18,1:00,Sunday
1915,Ciutadella,Good,Good,4.0,Good,72.0,,,1541894703,11/11/18,1:00,Sunday
1916,Vall Hebron,Good,Good,62.0,Good,8.0,Good,9.0,1541894703,11/11/18,1:00,Sunday
1917,Palau Reial,Good,Good,45.0,Good,9.0,Good,11.0,1541894703,11/11/18,1:00,Sunday
1918,Poblenou,Good,,,Good,69.0,Good,14.0,1541894703,11/11/18,1:00,Sunday
1919,Observ Fabra,Good,Good,68.0,Good,5.0,Good,8.0,1541894703,11/11/18,1:00,Sunday
1920,Sants,Good,,,Good,36.0,,,1541898303,11/11/18,2:00,Sunday
1921,Eixample,Good,Good,2.0,Good,66.0,Good,16.0,1541898303,11/11/18,2:00,Sunday
1922,Gràcia,,,,,,,,1541898303,11/11/18,2:00,Sunday
1923,Ciutadella,Good,Good,10.0,Good,60.0,,,1541898303,11/11/18,2:00,Sunday
1924,Vall Hebron,Good,Good,55.0,Good,12.0,Good,9.0,1541898303,11/11/18,2:00,Sunday
1925,Palau Reial,Good,Good,49.0,Good,6.0,Good,11.0,1541898303,11/11/18,2:00,Sunday
1926,Poblenou,Good,,,Good,65.0,Good,15.0,1541898303,11/11/18,2:00,Sunday
1927,Observ Fabra,Good,Good,63.0,Good,7.0,Good,8.0,1541898303,11/11/18,2:00,Sunday
1928,Sants,Good,,,Good,35.0,,,1541901903,11/11/18,3:00,Sunday
1929,Eixample,Good,Good,2.0,Good,68.0,Good,16.0,1541901903,11/11/18,3:00,Sunday
1930,Gràcia,,,,,,,,1541901903,11/11/18,3:00,Sunday
1931,Ciutadella,Good,Good,12.0,Good,56.0,,,1541901903,11/11/18,3:00,Sunday
1932,Vall Hebron,Good,Good,55.0,Good,10.0,Good,9.0,1541901903,11/11/18,3:00,Sunday
1933,Palau Reial,Good,Good,33.0,Good,21.0,Good,11.0,1541901903,11/11/18,3:00,Sunday
